N,A,B,Cin,P,Output,Expected,Latency
47,1000101011000010010001110001010,11111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111100100101001010010111111001001,11111111111111111100100101001010010111111001001,14
48,1000101011000010010001110001010,111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111100100101001010010111111001001,111111111111111111100100101001010010111111001001,14
49,1000101011000010010001110001010,1111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111100100101001010010111111001001,1111111111111111111100100101001010010111111001001,14
50,1000101011000010010001110001010,11111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111100100101001010010111111001001,11111111111111111111100100101001010010111111001001,14
51,1000101011000010010001110001010,111111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111100100101001010010111111001001,111111111111111111111100100101001010010111111001001,14
52,1000101011000010010001110001010,1111111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111100100101001010010111111001001,1111111111111111111111100100101001010010111111001001,14
53,1000101011000010010001110001010,11111111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111100100101001010010111111001001,11111111111111111111111100100101001010010111111001001,14
54,1000101011000010010001110001010,111111111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111100100101001010010111111001001,111111111111111111111111100100101001010010111111001001,14
55,1000101011000010010001110001010,1111111111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111100100101001010010111111001001,1111111111111111111111111100100101001010010111111001001,14
56,1000101011000010010001110001010,11111111111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111111100100101001010010111111001001,11111111111111111111111111100100101001010010111111001001,14
57,1000101011000010010001110001010,111111111111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111111100100101001010010111111001001,111111111111111111111111111100100101001010010111111001001,14
58,1000101011000010010001110001010,1111111111111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111111100100101001010010111111001001,1111111111111111111111111111100100101001010010111111001001,14
59,1000101011000010010001110001010,11111111111111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111111111100100101001010010111111001001,11111111111111111111111111111100100101001010010111111001001,14
60,1000101011000010010001110001010,111111111111111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111111111100100101001010010111111001001,111111111111111111111111111111100100101001010010111111001001,14
61,1000101011000010010001110001010,1111111111111111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111111111100100101001010010111111001001,1111111111111111111111111111111100100101001010010111111001001,14
62,1000101011000010010001110001010,11111111111111111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111111111111100100101001010010111111001001,11111111111111111111111111111111100100101001010010111111001001,14
63,1000101011000010010001110001010,111111111111111111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111111111111100100101001010010111111001001,111111111111111111111111111111111100100101001010010111111001001,14
64,1000101011000010010001110001010,1111111111111111111111111111111110011111010001000000110000111110,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111111111111100100101001010010111111001001,1111111111111111111111111111111111100100101001010010111111001001,14
1,0,0,1,z,1,1,2
2,0,0,1,zz,1,1,3
3,100,100,1,zzz,1001,1001,5
4,100,1100,1,zzzz,10001,10001,6
5,100,1100,1,zzzzz,10001,10001,7
6,100,101100,1,zzzzzz,110001,110001,8
7,1000100,1101100,1,zzzzzzz,10110001,10110001,8
8,1000100,1101100,1,zzzzzzzz,10110001,10110001,8
9,101000100,1101100,1,zzzzzzzzz,110110001,110110001,9
10,101000100,1101100,1,zzzzzzzzzz,110110001,110110001,10
11,10101000100,10001101100,1,zzzzzzzzzzz,100110110001,100110110001,10
12,110101000100,10001101100,1,zzzzzzzzzzzz,1000110110001,1000110110001,10
13,1110101000100,1010001101100,1,zzzzzzzzzzzzz,11000110110001,11000110110001,10
14,1110101000100,11010001101100,1,zzzzzzzzzzzzzz,101000110110001,101000110110001,10
15,101110101000100,111010001101100,1,zzzzzzzzzzzzzzz,1101000110110001,1101000110110001,10
16,101110101000100,1111010001101100,1,zzzzzzzzzzzzzzzz,10101000110110001,10101000110110001,10
17,101110101000100,11111010001101100,1,zzzzzzzzzzzzzzzzz,100101000110110001,100101000110110001,11
18,100101110101000100,11111010001101100,1,zzzzzzzzzzzzzzzzzz,1000101000110110001,1000101000110110001,12
19,100101110101000100,1011111010001101100,1,zzzzzzzzzzzzzzzzzzz,10000101000110110001,10000101000110110001,12
20,100101110101000100,11011111010001101100,1,zzzzzzzzzzzzzzzzzzzz,100000101000110110001,100000101000110110001,12
21,100101110101000100,11011111010001101100,1,zzzzzzzzzzzzzzzzzzzzz,100000101000110110001,100000101000110110001,12
22,100101110101000100,1011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzz,1100000101000110110001,1100000101000110110001,12
23,100101110101000100,11011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzz,11100000101000110110001,11100000101000110110001,12
24,100101110101000100,11011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzz,11100000101000110110001,11100000101000110110001,12
25,100101110101000100,11011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzz,11100000101000110110001,11100000101000110110001,12
26,10000000100101110101000100,10011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzz,100011100000101000110110001,100011100000101000110110001,12
27,10000000100101110101000100,110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzz,1000011100000101000110110001,1000011100000101000110110001,12
28,10000000100101110101000100,110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzz,1000011100000101000110110001,1000011100000101000110110001,12
29,10000000100101110101000100,10110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11000011100000101000110110001,11000011100000101000110110001,12
30,100010000000100101110101000100,110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1011000011100000101000110110001,1011000011100000101000110110001,12
31,100010000000100101110101000100,110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1011000011100000101000110110001,1011000011100000101000110110001,12
32,100010000000100101110101000100,10110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11011000011100000101000110110001,11011000011100000101000110110001,12
33,100010000000100101110101000100,110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111011000011100000101000110110001,111011000011100000101000110110001,13
34,100010000000100101110101000100,1110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111011000011100000101000110110001,1111011000011100000101000110110001,14
35,100010000000100101110101000100,11110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111011000011100000101000110110001,11111011000011100000101000110110001,14
36,100010000000100101110101000100,111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111011000011100000101000110110001,111111011000011100000101000110110001,14
37,100010000000100101110101000100,1111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111011000011100000101000110110001,1111111011000011100000101000110110001,14
38,100010000000100101110101000100,11111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111011000011100000101000110110001,11111111011000011100000101000110110001,14
39,100010000000100101110101000100,111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111011000011100000101000110110001,111111111011000011100000101000110110001,14
40,100010000000100101110101000100,1111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111011000011100000101000110110001,1111111111011000011100000101000110110001,14
41,100010000000100101110101000100,11111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111011000011100000101000110110001,11111111111011000011100000101000110110001,14
42,100010000000100101110101000100,111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111011000011100000101000110110001,111111111111011000011100000101000110110001,14
43,100010000000100101110101000100,1111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111011000011100000101000110110001,1111111111111011000011100000101000110110001,14
44,100010000000100101110101000100,11111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111011000011100000101000110110001,11111111111111011000011100000101000110110001,14
45,100010000000100101110101000100,111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111011000011100000101000110110001,111111111111111011000011100000101000110110001,14
46,100010000000100101110101000100,1111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111011000011100000101000110110001,1111111111111111011000011100000101000110110001,14
47,100010000000100101110101000100,11111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111011000011100000101000110110001,11111111111111111011000011100000101000110110001,14
48,100010000000100101110101000100,111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111011000011100000101000110110001,111111111111111111011000011100000101000110110001,14
49,100010000000100101110101000100,1111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111011000011100000101000110110001,1111111111111111111011000011100000101000110110001,14
50,100010000000100101110101000100,11111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111011000011100000101000110110001,11111111111111111111011000011100000101000110110001,14
51,100010000000100101110101000100,111111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111011000011100000101000110110001,111111111111111111111011000011100000101000110110001,14
52,100010000000100101110101000100,1111111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111011000011100000101000110110001,1111111111111111111111011000011100000101000110110001,14
53,100010000000100101110101000100,11111111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111011000011100000101000110110001,11111111111111111111111011000011100000101000110110001,14
54,100010000000100101110101000100,111111111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111011000011100000101000110110001,111111111111111111111111011000011100000101000110110001,14
55,100010000000100101110101000100,1111111111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111011000011100000101000110110001,1111111111111111111111111011000011100000101000110110001,14
56,100010000000100101110101000100,11111111111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111111011000011100000101000110110001,11111111111111111111111111011000011100000101000110110001,14
57,100010000000100101110101000100,111111111111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111111011000011100000101000110110001,111111111111111111111111111011000011100000101000110110001,14
58,100010000000100101110101000100,1111111111111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111111011000011100000101000110110001,1111111111111111111111111111011000011100000101000110110001,14
59,100010000000100101110101000100,11111111111111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111111111011000011100000101000110110001,11111111111111111111111111111011000011100000101000110110001,14
60,100010000000100101110101000100,111111111111111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111111111011000011100000101000110110001,111111111111111111111111111111011000011100000101000110110001,14
61,100010000000100101110101000100,1111111111111111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111111111011000011100000101000110110001,1111111111111111111111111111111011000011100000101000110110001,14
62,100010000000100101110101000100,11111111111111111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111111111111011000011100000101000110110001,11111111111111111111111111111111011000011100000101000110110001,14
63,100010000000100101110101000100,111111111111111111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111111111111011000011100000101000110110001,111111111111111111111111111111111011000011100000101000110110001,14
64,100010000000100101110101000100,1111111111111111111111111111111110110110011011011111010001101100,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111111111111011000011100000101000110110001,1111111111111111111111111111111111011000011100000101000110110001,14
1,1,1,1,z,11,11,2
2,1,1,1,zz,11,11,3
3,101,101,1,zzz,1011,1011,5
4,101,101,1,zzzz,1011,1011,6
5,101,10101,1,zzzzz,11011,11011,7
6,100101,110101,1,zzzzzz,1011011,1011011,8
7,100101,110101,1,zzzzzzz,1011011,1011011,8
8,10100101,110101,1,zzzzzzzz,11011011,11011011,8
9,10100101,100110101,1,zzzzzzzzz,111011011,111011011,9
10,1010100101,1100110101,1,zzzzzzzzzz,10111011011,10111011011,10
11,11010100101,1100110101,1,zzzzzzzzzzz,100111011011,100111011011,10
12,11010100101,1100110101,1,zzzzzzzzzzzz,100111011011,100111011011,10
13,1011010100101,1100110101,1,zzzzzzzzzzzzz,1100111011011,1100111011011,10
14,1011010100101,1100110101,1,zzzzzzzzzzzzzz,1100111011011,1100111011011,10
15,1011010100101,1100110101,1,zzzzzzzzzzzzzzz,1100111011011,1100111011011,10
16,1001011010100101,1100110101,1,zzzzzzzzzzzzzzzz,1001100111011011,1001100111011011,10
17,11001011010100101,10000001100110101,1,zzzzzzzzzzzzzzzzz,101001100111011011,101001100111011011,11
18,11001011010100101,10000001100110101,1,zzzzzzzzzzzzzzzzzz,101001100111011011,101001100111011011,12
19,1011001011010100101,1010000001100110101,1,zzzzzzzzzzzzzzzzzzz,10101001100111011011,10101001100111011011,12
20,11011001011010100101,11010000001100110101,1,zzzzzzzzzzzzzzzzzzzz,110101001100111011011,110101001100111011011,12
21,11011001011010100101,11010000001100110101,1,zzzzzzzzzzzzzzzzzzzzz,110101001100111011011,110101001100111011011,12
22,1011011001011010100101,1011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzz,10110101001100111011011,10110101001100111011011,12
23,1011011001011010100101,11011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzz,100110101001100111011011,100110101001100111011011,12
24,101011011001011010100101,111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzz,1100110101001100111011011,1100110101001100111011011,12
25,101011011001011010100101,111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzz,1100110101001100111011011,1100110101001100111011011,12
26,10101011011001011010100101,10111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzz,101100110101001100111011011,101100110101001100111011011,12
27,10101011011001011010100101,10111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzz,101100110101001100111011011,101100110101001100111011011,12
28,10101011011001011010100101,1010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzz,1101100110101001100111011011,1101100110101001100111011011,12
29,10010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzz,101101100110101001100111011011,101101100110101001100111011011,12
30,10010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,101101100110101001100111011011,101101100110101001100111011011,12
31,1010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1101101100110101001100111011011,1101101100110101001100111011011,12
32,11010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11101101100110101001100111011011,11101101100110101001100111011011,12
33,111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111101101100110101001100111011011,111101101100110101001100111011011,13
34,1111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111101101100110101001100111011011,1111101101100110101001100111011011,14
35,11111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111101101100110101001100111011011,11111101101100110101001100111011011,14
36,111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111101101100110101001100111011011,111111101101100110101001100111011011,14
37,1111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111101101100110101001100111011011,1111111101101100110101001100111011011,14
38,11111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111101101100110101001100111011011,11111111101101100110101001100111011011,14
39,111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111101101100110101001100111011011,111111111101101100110101001100111011011,14
40,1111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111101101100110101001100111011011,1111111111101101100110101001100111011011,14
41,11111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111101101100110101001100111011011,11111111111101101100110101001100111011011,14
42,111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111101101100110101001100111011011,111111111111101101100110101001100111011011,14
43,1111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111101101100110101001100111011011,1111111111111101101100110101001100111011011,14
44,11111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111101101100110101001100111011011,11111111111111101101100110101001100111011011,14
45,111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111101101100110101001100111011011,111111111111111101101100110101001100111011011,14
46,1111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111101101100110101001100111011011,1111111111111111101101100110101001100111011011,14
47,11111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111101101100110101001100111011011,11111111111111111101101100110101001100111011011,14
48,111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111101101100110101001100111011011,111111111111111111101101100110101001100111011011,14
49,1111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111101101100110101001100111011011,1111111111111111111101101100110101001100111011011,14
50,11111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111101101100110101001100111011011,11111111111111111111101101100110101001100111011011,14
51,111111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111101101100110101001100111011011,111111111111111111111101101100110101001100111011011,14
52,1111111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111101101100110101001100111011011,1111111111111111111111101101100110101001100111011011,14
53,11111111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111101101100110101001100111011011,11111111111111111111111101101100110101001100111011011,14
54,111111111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111101101100110101001100111011011,111111111111111111111111101101100110101001100111011011,14
55,1111111111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111101101100110101001100111011011,1111111111111111111111111101101100110101001100111011011,14
56,11111111111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111111101101100110101001100111011011,11111111111111111111111111101101100110101001100111011011,14
57,111111111111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111111101101100110101001100111011011,111111111111111111111111111101101100110101001100111011011,14
58,1111111111111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111111101101100110101001100111011011,1111111111111111111111111111101101100110101001100111011011,14
59,11111111111111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111111111101101100110101001100111011011,11111111111111111111111111111101101100110101001100111011011,14
60,111111111111111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111111111101101100110101001100111011011,111111111111111111111111111111101101100110101001100111011011,14
61,1111111111111111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111111111101101100110101001100111011011,1111111111111111111111111111111101101100110101001100111011011,14
62,11111111111111111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,11111111111111111111111111111111101101100110101001100111011011,11111111111111111111111111111111101101100110101001100111011011,14
63,111111111111111111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,111111111111111111111111111111111101101100110101001100111011011,111111111111111111111111111111111101101100110101001100111011011,14
64,1111111111111111111111111111111111010010101011011001011010100101,11010111011010000001100110101,1,zzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,1111111111111111111111111111111111101101100110101001100111011011,1111111111111111111111111111111111101101100110101001100111011011,14
1,1,0,0,z,1,1,2
2,11,0,0,zz,11,11,3
3,11,100,0,zzz,111,111,5
4,11,1100,0,zzzz,1111,1111,6
5,11,11100,0,zzzzz,11111,11111,7
6,100011,11100,0,zzzzzz,111111,111111,8
7,1100011,1011100,0,zzzzzzz,10111111,10111111,8
8,11100011,11011100,0,zzzzzzzz,110111111,110111111,8
9,11100011,111011100,0,zzzzzzzzz,1010111111,1010111111,9
10,11100011,1111011100,0,zzzzzzzzzz,10010111111,10010111111,10
11,10011100011,11111011100,0,zzzzzzzzzzz,110010111111,110010111111,10
12,110011100011,111111011100,0,zzzzzzzzzzzz,1110010111111,1110010111111,10
13,1110011100011,111111011100,0,zzzzzzzzzzzzz,10110010111111,10110010111111,10
14,1110011100011,10111111011100,0,zzzzzzzzzzzzzz,100110010111111,100110010111111,10
15,1110011100011,10111111011100,0,zzzzzzzzzzzzzzz,100110010111111,100110010111111,10
16,1001110011100011,10111111011100,0,zzzzzzzzzzzzzzzz,1100110010111111,1100110010111111,10
17,11001110011100011,10010111111011100,0,zzzzzzzzzzzzzzzzz,101100110010111111,101100110010111111,11
18,111001110011100011,110010111111011100,0,zzzzzzzzzzzzzzzzzz,1101100110010111111,1101100110010111111,12
19,111001110011100011,110010111111011100,0,zzzzzzzzzzzzzzzzzzz,1101100110010111111,1101100110010111111,12
